Date,Portfolio_Return,Monte_Carlo_VaR,Monte_Carlo_VaR_Dollar,Realized_Loss,Exception,Rolling_Exception_Rate,Rolling_Exception_Count,Exception_Severity
2021-11-16,0.0005304484051833703,0.014135429136644092,14135.429136644092,-0.0005304484051833703,False,0.008,2.0,0.0
2021-11-17,0.0019918500126056005,0.013572366064697642,13572.366064697642,-0.0019918500126056005,False,0.008,2.0,0.0
2021-11-18,0.00042124988216982775,0.014394023190257713,14394.023190257712,-0.00042124988216982775,False,0.008,2.0,0.0
2021-11-19,0.001026044669495385,0.014140698137397276,14140.698137397276,-0.001026044669495385,False,0.008,2.0,0.0
2021-11-22,-0.011324900038439225,0.013563332051622273,13563.332051622274,0.011324900038439225,False,0.008,2.0,0.0
2021-11-23,-0.005466828830939941,0.014224824398746748,14224.824398746749,0.005466828830939941,False,0.008,2.0,0.0
2021-11-24,0.003920437016615197,0.01421540645776831,14215.40645776831,-0.003920437016615197,False,0.008,2.0,0.0
2021-11-26,-0.010229268041428942,0.013924300724199614,13924.300724199615,0.010229268041428942,False,0.008,2.0,0.0
2021-11-29,0.005690743483185767,0.014399884741404731,14399.88474140473,-0.005690743483185767,False,0.008,2.0,0.0
2021-11-30,-0.005337295083431194,0.014188011056319293,14188.011056319294,0.005337295083431194,False,0.008,2.0,0.0
2021-12-01,-0.002855628566441859,0.013954217548714008,13954.217548714008,0.002855628566441859,False,0.008,2.0,0.0
2021-12-02,0.006094915386007216,0.01426300473851732,14263.00473851732,-0.006094915386007216,False,0.008,2.0,0.0
2021-12-03,-0.00397077096914571,0.013801498534263431,13801.498534263432,0.00397077096914571,False,0.008,2.0,0.0
2021-12-06,0.0022857864884240136,0.014523423750261624,14523.423750261623,-0.0022857864884240136,False,0.008,2.0,0.0
2021-12-07,0.012417931620704413,0.014398426477700269,14398.426477700268,-0.012417931620704413,False,0.008,2.0,0.0
2021-12-08,-0.0011258446134674526,0.014098874023159735,14098.874023159735,0.0011258446134674526,False,0.008,2.0,0.0
2021-12-09,-0.005351450006938508,0.013730152401317032,13730.152401317033,0.005351450006938508,False,0.008,2.0,0.0
